reward/mean,reward/ticket_booking,breakdown/task_success,breakdown/tool_sequence,breakdown/tool_fidelity,breakdown/tool_economy,breakdown/format,breakdown/conversation_quality,breakdown/turn_efficiency,breakdown/payment_discipline,breakdown/politeness,breakdown/clarity,timestamp,step,train/loss,train/grad_norm,train/learning_rate,train/num_tokens,train/completions/mean_length,train/completions/min_length,train/completions/max_length,train/completions/clipped_ratio,train/completions/mean_terminated_length,train/completions/min_terminated_length,train/completions/max_terminated_length,train/rewards/reward_fn/mean,train/rewards/reward_fn/std,train/reward,train/reward_std,train/frac_reward_zero_std,train/entropy,train/clip_ratio/low_mean,train/clip_ratio/low_min,train/clip_ratio/high_mean,train/clip_ratio/high_max,train/clip_ratio/region_mean,train/step_time,train/epoch,gpu/0/allocated_memory,gpu/0/memory_usage,train/global_step
0.186525,0.186525,0.0,0.0075000000000000015,0.018750000000000003,0.01125,0.017499999999999998,0.015,0.09999999999999999,0.0,0.006249999999999999,0.010275,2026-04-26T07:46:22.628006+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2026-04-26T07:46:46.306567+00:00,1,-0.082,0.65625,5e-06,11906.0,217.25,192.0,265.0,1.0,0.0,0.0,0.0,0.18652498722076416,0.031596191227436066,0.18652498722076416,0.031596191227436066,0.0,0.050833559362217784,0.0,0.0,0.0,0.0,0.0,502.6263576745987,0.2,18.327978134155273,0.23126572555304656,1.0
0.232,0.232,0.0,0.020000000000000004,0.049999999999999996,0.03,0.015000000000000001,0.0075,0.09999999999999999,0.0,0.0024999999999999996,0.006999999999999999,2026-04-26T07:56:38.040430+00:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2026-04-26T07:57:02.657897+00:00,2,-0.0033,0.55078125,4.75e-06,24182.0,263.5,257.0,267.0,1.0,0.0,0.0,0.0,0.23199999332427979,0.014101674780249596,0.23199999332427979,0.014101671054959297,0.0,0.07484877062961459,0.0,0.0,0.0,0.0,0.0,615.281208999455,0.4,18.327978134155273,0.23126572555304656,2.0
0.24002500000000002,0.24002500000000002,0.0,0.020000000000000004,0.049999999999999996,0.03,0.02,0.0,0.09999999999999999,0.0,0.006249999999999999,0.013774999999999999,2026-04-26T08:07:18.750912+00:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2026-04-26T08:07:42.975973+00:00,3,0.0003,0.470703125,4.5e-06,36475.0,265.625,265.0,267.0,1.0,0.0,0.0,0.0,0.24002498388290405,0.00502614863216877,0.24002498388290405,0.0050261495634913445,0.25,0.0826285844668746,0.0,0.0,0.0,0.0,0.0,639.6480810418725,0.6,18.327978134155273,0.23126572555304656,3.0
0.24392500000000003,0.24392500000000003,0.0,0.020000000000000004,0.049999999999999996,0.03,0.02,0.0,0.09999999999999999,0.0,0.009999999999999997,0.013925,2026-04-26T08:17:22.265819+00:00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2026-04-26T08:17:47.442043+00:00,4,0.0012,0.236328125,4.25e-06,48766.0,265.375,261.0,268.0,1.0,0.0,0.0,0.0,0.24392500519752502,0.0014849219005554914,0.24392500519752502,0.001484919455833733,0.25,0.07993626687675714,0.0,0.0,0.0,0.0,0.0,603.8051848486066,0.8,18.327978134155273,0.23126572555304656,4.0
0.24275000000000002,0.24275000000000002,0.0,0.020000000000000004,0.049999999999999996,0.03,0.02,0.00375,0.09999999999999999,0.0,0.004999999999999999,0.013999999999999999,2026-04-26T08:27:33.807047+00:00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2026-04-26T08:27:59.613549+00:00,5,-0.0013,0.388671875,4.000000000000001e-06,61092.0,269.75,265.0,276.0,1.0,0.0,0.0,0.0,0.24274998903274536,0.009910313412547112,0.24274998903274536,0.00991031713783741,0.0,0.08023216295987368,0.0,0.0,0.0,0.0,0.0,610.9456158131361,1.0,18.327980041503906,0.23126574962031476,5.0
0.24252500000000002,0.24252500000000002,0.0,0.020000000000000004,0.049999999999999996,0.03,0.02,0.0,0.09999999999999999,0.0,0.008749999999999997,0.013774999999999999,2026-04-26T08:37:43.349885+00:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2026-04-26T08:38:07.247986+00:00,6,0.0066,0.3203125,3.7500000000000005e-06,73404.0,268.0,261.0,277.0,1.0,0.0,0.0,0.0,0.24252499639987946,0.003501736093312502,0.24252499639987946,0.0035017395857721567,0.5,0.08021512348204851,0.0,0.0,0.0,0.0,0.0,606.9260889701545,1.2,18.327980041503906,0.23126574962031476,6.0
0.24502500000000002,0.24502500000000002,0.0,0.020000000000000004,0.049999999999999996,0.03,0.02,0.00375,0.09999999999999999,0.0,0.007499999999999998,0.013774999999999999,2026-04-26T08:47:52.980710+00:00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2026-04-26T08:48:17.073854+00:00,7,0.0003,0.189453125,3.5e-06,85708.0,267.0,261.0,275.0,1.0,0.0,0.0,0.0,0.24502500891685486,0.008407777175307274,0.24502500891685486,0.008407780900597572,0.5,0.07892773859202862,0.0,0.0,0.0,0.0,0.0,609.3357777409256,1.4,18.327980041503906,0.23126574962031476,7.0
